review,rating
"It was fine, not great but not terrible either.",3
Amazing hotel with fantastic location and wonderful staff!,5
"Room was nothing like the photos, very misleading.",1
"Bad location, far from everything, difficult to reach.",1
"Excellent experience, the breakfast was delicious.",5
"Bad location, far from everything, difficult to reach.",1
"Beautiful rooms, great service, will definitely come back.",5
"Beautiful rooms, great service, will definitely come back.",5
"Beautiful rooms, great service, will definitely come back.",5
"Best hotel I've stayed in, everything was perfect.",5
"It was fine, not great but not terrible either.",3
"Beautiful rooms, great service, will definitely come back.",5
"Comfortable beds, clean rooms, great location.",5
"Beautiful rooms, great service, will definitely come back.",5
"Average hotel, okay for the price but nothing special.",3
"Best hotel I've stayed in, everything was perfect.",5
"Worst hotel ever, would not recommend to anyone.",1
"Okay for a short stay, but wouldn't come for long.",3
"Comfortable beds, clean rooms, great location.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Very disappointed, staff was rude and unhelpful.",1
"Perfect stay, very clean and comfortable.",5
"Poor cleanliness, bathroom had mold.",1
"Loved the atmosphere, staff were very friendly.",5
"Poor cleanliness, bathroom had mold.",1
"Rude staff, terrible customer service.",1
"Best hotel I've stayed in, everything was perfect.",5
"Comfortable beds, clean rooms, great location.",5
"Poor cleanliness, bathroom had mold.",1
"Beautiful rooms, great service, will definitely come back.",5
"Terrible experience, room was dirty and noisy.",1
"Great value for money, highly recommended.",5
"Loved the atmosphere, staff were very friendly.",5
"Dirty sheets, broken AC, horrible experience.",1
"Terrible experience, room was dirty and noisy.",1
"Comfortable beds, clean rooms, great location.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Very disappointed, staff was rude and unhelpful.",1
Amazing hotel with fantastic location and wonderful staff!,5
Very impressed with the quality and service.,5
"Great value for money, highly recommended.",5
"Not worth the money, old furniture and bad service.",1
"Worst hotel ever, would not recommend to anyone.",1
"Wonderful view from the room, exceptional service.",5
"Bad location, far from everything, difficult to reach.",1
"Excellent experience, the breakfast was delicious.",5
"Rude staff, terrible customer service.",1
"Beautiful rooms, great service, will definitely come back.",5
"Excellent experience, the breakfast was delicious.",5
"Dirty sheets, broken AC, horrible experience.",1
"Average hotel, okay for the price but nothing special.",3
Amazing hotel with fantastic location and wonderful staff!,5
"Rude staff, terrible customer service.",1
"Room was nothing like the photos, very misleading.",1
Amazing hotel with fantastic location and wonderful staff!,5
"Room was nothing like the photos, very misleading.",1
"Wonderful view from the room, exceptional service.",5
"Very disappointed, staff was rude and unhelpful.",1
"Loved the atmosphere, staff were very friendly.",5
"Loved the atmosphere, staff were very friendly.",5
Very impressed with the quality and service.,5
"Rude staff, terrible customer service.",1
"Beautiful rooms, great service, will definitely come back.",5
"Terrible experience, room was dirty and noisy.",1
"Terrible experience, room was dirty and noisy.",1
"Terrible experience, room was dirty and noisy.",1
"Terrible experience, room was dirty and noisy.",1
"Room was nothing like the photos, very misleading.",1
"Perfect stay, very clean and comfortable.",5
"Poor cleanliness, bathroom had mold.",1
"Great value for money, highly recommended.",5
"Bad location, far from everything, difficult to reach.",1
"Comfortable beds, clean rooms, great location.",5
"Very disappointed, staff was rude and unhelpful.",1
Very impressed with the quality and service.,5
"Comfortable beds, clean rooms, great location.",5
"Loved the atmosphere, staff were very friendly.",5
"Not worth the money, old furniture and bad service.",1
"Wonderful view from the room, exceptional service.",5
"Dirty sheets, broken AC, horrible experience.",1
"Dirty sheets, broken AC, horrible experience.",1
"Okay for a short stay, but wouldn't come for long.",3
"Very disappointed, staff was rude and unhelpful.",1
"Very disappointed, staff was rude and unhelpful.",1
"Not worth the money, old furniture and bad service.",1
"Poor cleanliness, bathroom had mold.",1
"Wonderful view from the room, exceptional service.",5
"Best hotel I've stayed in, everything was perfect.",5
"Great value for money, highly recommended.",5
"Okay for a short stay, but wouldn't come for long.",3
"Comfortable beds, clean rooms, great location.",5
Very impressed with the quality and service.,5
"Beautiful rooms, great service, will definitely come back.",5
"Terrible experience, room was dirty and noisy.",1
"Room was nothing like the photos, very misleading.",1
"Wonderful view from the room, exceptional service.",5
"Decent stay, some good some bad aspects.",3
"Poor cleanliness, bathroom had mold.",1
Very impressed with the quality and service.,5
"Great value for money, highly recommended.",5
"Awful stay, couldn't sleep due to noise.",1
Very impressed with the quality and service.,5
"Loved the atmosphere, staff were very friendly.",5
Very impressed with the quality and service.,5
"Perfect stay, very clean and comfortable.",5
"Dirty sheets, broken AC, horrible experience.",1
"Decent stay, some good some bad aspects.",3
"Excellent experience, the breakfast was delicious.",5
"Terrible experience, room was dirty and noisy.",1
"Best hotel I've stayed in, everything was perfect.",5
"Best hotel I've stayed in, everything was perfect.",5
"Very disappointed, staff was rude and unhelpful.",1
Amazing hotel with fantastic location and wonderful staff!,5
"Worst hotel ever, would not recommend to anyone.",1
"Very disappointed, staff was rude and unhelpful.",1
"Worst hotel ever, would not recommend to anyone.",1
"Excellent experience, the breakfast was delicious.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Excellent experience, the breakfast was delicious.",5
"Dirty sheets, broken AC, horrible experience.",1
"Poor cleanliness, bathroom had mold.",1
"Terrible experience, room was dirty and noisy.",1
"Nothing exceptional, just an average hotel.",3
"Great value for money, highly recommended.",5
"Great value for money, highly recommended.",5
"Awful stay, couldn't sleep due to noise.",1
"Awful stay, couldn't sleep due to noise.",1
"Dirty sheets, broken AC, horrible experience.",1
"Loved the atmosphere, staff were very friendly.",5
"It was fine, not great but not terrible either.",3
"Worst hotel ever, would not recommend to anyone.",1
"Comfortable beds, clean rooms, great location.",5
"Worst hotel ever, would not recommend to anyone.",1
"Wonderful view from the room, exceptional service.",5
"Awful stay, couldn't sleep due to noise.",1
"Beautiful rooms, great service, will definitely come back.",5
"Terrible experience, room was dirty and noisy.",1
"Very disappointed, staff was rude and unhelpful.",1
"Terrible experience, room was dirty and noisy.",1
Very impressed with the quality and service.,5
Amazing hotel with fantastic location and wonderful staff!,5
"Terrible experience, room was dirty and noisy.",1
"Not worth the money, old furniture and bad service.",1
"Excellent experience, the breakfast was delicious.",5
"Nothing exceptional, just an average hotel.",3
"Poor cleanliness, bathroom had mold.",1
"Very disappointed, staff was rude and unhelpful.",1
"Awful stay, couldn't sleep due to noise.",1
Very impressed with the quality and service.,5
"Average hotel, okay for the price but nothing special.",3
"Loved the atmosphere, staff were very friendly.",5
"Loved the atmosphere, staff were very friendly.",5
"Great value for money, highly recommended.",5
"Beautiful rooms, great service, will definitely come back.",5
"Best hotel I've stayed in, everything was perfect.",5
Very impressed with the quality and service.,5
"Bad location, far from everything, difficult to reach.",1
"Bad location, far from everything, difficult to reach.",1
"Okay for a short stay, but wouldn't come for long.",3
"Dirty sheets, broken AC, horrible experience.",1
"Very disappointed, staff was rude and unhelpful.",1
"Comfortable beds, clean rooms, great location.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Perfect stay, very clean and comfortable.",5
"Perfect stay, very clean and comfortable.",5
"Excellent experience, the breakfast was delicious.",5
"Perfect stay, very clean and comfortable.",5
"Not worth the money, old furniture and bad service.",1
"Average hotel, okay for the price but nothing special.",3
"Wonderful view from the room, exceptional service.",5
"Beautiful rooms, great service, will definitely come back.",5
"Comfortable beds, clean rooms, great location.",5
"Rude staff, terrible customer service.",1
"Nothing exceptional, just an average hotel.",3
"Worst hotel ever, would not recommend to anyone.",1
"Comfortable beds, clean rooms, great location.",5
"Rude staff, terrible customer service.",1
"Not worth the money, old furniture and bad service.",1
"Poor cleanliness, bathroom had mold.",1
"Perfect stay, very clean and comfortable.",5
"Rude staff, terrible customer service.",1
"Nothing exceptional, just an average hotel.",3
"Dirty sheets, broken AC, horrible experience.",1
"Comfortable beds, clean rooms, great location.",5
"Perfect stay, very clean and comfortable.",5
"Best hotel I've stayed in, everything was perfect.",5
"Terrible experience, room was dirty and noisy.",1
"Rude staff, terrible customer service.",1
"Wonderful view from the room, exceptional service.",5
"Loved the atmosphere, staff were very friendly.",5
"Very disappointed, staff was rude and unhelpful.",1
"Wonderful view from the room, exceptional service.",5
"Best hotel I've stayed in, everything was perfect.",5
"Loved the atmosphere, staff were very friendly.",5
"Great value for money, highly recommended.",5
"Terrible experience, room was dirty and noisy.",1
"Beautiful rooms, great service, will definitely come back.",5
"Comfortable beds, clean rooms, great location.",5
"Okay for a short stay, but wouldn't come for long.",3
"Terrible experience, room was dirty and noisy.",1
"Bad location, far from everything, difficult to reach.",1
"Average hotel, okay for the price but nothing special.",3
"Poor cleanliness, bathroom had mold.",1
"Loved the atmosphere, staff were very friendly.",5
"Wonderful view from the room, exceptional service.",5
"Worst hotel ever, would not recommend to anyone.",1
"Perfect stay, very clean and comfortable.",5
"Wonderful view from the room, exceptional service.",5
Very impressed with the quality and service.,5
"Perfect stay, very clean and comfortable.",5
"Rude staff, terrible customer service.",1
"Worst hotel ever, would not recommend to anyone.",1
"Not worth the money, old furniture and bad service.",1
Very impressed with the quality and service.,5
"Loved the atmosphere, staff were very friendly.",5
"Not worth the money, old furniture and bad service.",1
Very impressed with the quality and service.,5
Amazing hotel with fantastic location and wonderful staff!,5
"Perfect stay, very clean and comfortable.",5
"Great value for money, highly recommended.",5
"Worst hotel ever, would not recommend to anyone.",1
"Excellent experience, the breakfast was delicious.",5
"Poor cleanliness, bathroom had mold.",1
Very impressed with the quality and service.,5
"Not worth the money, old furniture and bad service.",1
"Awful stay, couldn't sleep due to noise.",1
Very impressed with the quality and service.,5
"Great value for money, highly recommended.",5
"Bad location, far from everything, difficult to reach.",1
"Dirty sheets, broken AC, horrible experience.",1
Very impressed with the quality and service.,5
"Awful stay, couldn't sleep due to noise.",1
"Best hotel I've stayed in, everything was perfect.",5
"Average hotel, okay for the price but nothing special.",3
"Rude staff, terrible customer service.",1
"Perfect stay, very clean and comfortable.",5
Amazing hotel with fantastic location and wonderful staff!,5
"It was fine, not great but not terrible either.",3
Amazing hotel with fantastic location and wonderful staff!,5
"Not worth the money, old furniture and bad service.",1
"Bad location, far from everything, difficult to reach.",1
"Dirty sheets, broken AC, horrible experience.",1
"Not worth the money, old furniture and bad service.",1
"Excellent experience, the breakfast was delicious.",5
"Beautiful rooms, great service, will definitely come back.",5
"Wonderful view from the room, exceptional service.",5
"Very disappointed, staff was rude and unhelpful.",1
Very impressed with the quality and service.,5
"Comfortable beds, clean rooms, great location.",5
"Excellent experience, the breakfast was delicious.",5
"Great value for money, highly recommended.",5
"Loved the atmosphere, staff were very friendly.",5
Very impressed with the quality and service.,5
"Awful stay, couldn't sleep due to noise.",1
"Dirty sheets, broken AC, horrible experience.",1
"Loved the atmosphere, staff were very friendly.",5
"Room was nothing like the photos, very misleading.",1
"Dirty sheets, broken AC, horrible experience.",1
"Awful stay, couldn't sleep due to noise.",1
"Not worth the money, old furniture and bad service.",1
"Awful stay, couldn't sleep due to noise.",1
"Wonderful view from the room, exceptional service.",5
"Beautiful rooms, great service, will definitely come back.",5
"Great value for money, highly recommended.",5
"Nothing exceptional, just an average hotel.",3
"Terrible experience, room was dirty and noisy.",1
"Best hotel I've stayed in, everything was perfect.",5
"Poor cleanliness, bathroom had mold.",1
"Rude staff, terrible customer service.",1
"Poor cleanliness, bathroom had mold.",1
"Average hotel, okay for the price but nothing special.",3
"Worst hotel ever, would not recommend to anyone.",1
"Room was nothing like the photos, very misleading.",1
"Room was nothing like the photos, very misleading.",1
"Terrible experience, room was dirty and noisy.",1
"Okay for a short stay, but wouldn't come for long.",3
"Comfortable beds, clean rooms, great location.",5
"Loved the atmosphere, staff were very friendly.",5
"Poor cleanliness, bathroom had mold.",1
"Dirty sheets, broken AC, horrible experience.",1
"Great value for money, highly recommended.",5
"Not worth the money, old furniture and bad service.",1
"Dirty sheets, broken AC, horrible experience.",1
"Average hotel, okay for the price but nothing special.",3
"Room was nothing like the photos, very misleading.",1
"Excellent experience, the breakfast was delicious.",5
"Beautiful rooms, great service, will definitely come back.",5
"Decent stay, some good some bad aspects.",3
"Comfortable beds, clean rooms, great location.",5
"Excellent experience, the breakfast was delicious.",5
"Bad location, far from everything, difficult to reach.",1
"Excellent experience, the breakfast was delicious.",5
"Great value for money, highly recommended.",5
"Very disappointed, staff was rude and unhelpful.",1
"Comfortable beds, clean rooms, great location.",5
"Not worth the money, old furniture and bad service.",1
"Awful stay, couldn't sleep due to noise.",1
"Great value for money, highly recommended.",5
Very impressed with the quality and service.,5
"Dirty sheets, broken AC, horrible experience.",1
"Excellent experience, the breakfast was delicious.",5
"Loved the atmosphere, staff were very friendly.",5
"Wonderful view from the room, exceptional service.",5
"Terrible experience, room was dirty and noisy.",1
"Best hotel I've stayed in, everything was perfect.",5
"Perfect stay, very clean and comfortable.",5
"Very disappointed, staff was rude and unhelpful.",1
"Perfect stay, very clean and comfortable.",5
"Best hotel I've stayed in, everything was perfect.",5
"Rude staff, terrible customer service.",1
"Excellent experience, the breakfast was delicious.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Best hotel I've stayed in, everything was perfect.",5
"Rude staff, terrible customer service.",1
"Great value for money, highly recommended.",5
"Poor cleanliness, bathroom had mold.",1
"It was fine, not great but not terrible either.",3
Amazing hotel with fantastic location and wonderful staff!,5
"Not worth the money, old furniture and bad service.",1
"Terrible experience, room was dirty and noisy.",1
"Rude staff, terrible customer service.",1
"Loved the atmosphere, staff were very friendly.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Very disappointed, staff was rude and unhelpful.",1
"Not worth the money, old furniture and bad service.",1
"Awful stay, couldn't sleep due to noise.",1
"Bad location, far from everything, difficult to reach.",1
"Poor cleanliness, bathroom had mold.",1
"Great value for money, highly recommended.",5
"Great value for money, highly recommended.",5
"Not worth the money, old furniture and bad service.",1
"Decent stay, some good some bad aspects.",3
"Bad location, far from everything, difficult to reach.",1
"Wonderful view from the room, exceptional service.",5
Very impressed with the quality and service.,5
"Okay for a short stay, but wouldn't come for long.",3
"Worst hotel ever, would not recommend to anyone.",1
"Perfect stay, very clean and comfortable.",5
"Terrible experience, room was dirty and noisy.",1
"Terrible experience, room was dirty and noisy.",1
"Bad location, far from everything, difficult to reach.",1
"Perfect stay, very clean and comfortable.",5
"Poor cleanliness, bathroom had mold.",1
"Great value for money, highly recommended.",5
"Very disappointed, staff was rude and unhelpful.",1
"Great value for money, highly recommended.",5
"Wonderful view from the room, exceptional service.",5
"Okay for a short stay, but wouldn't come for long.",3
"Perfect stay, very clean and comfortable.",5
Amazing hotel with fantastic location and wonderful staff!,5
"Comfortable beds, clean rooms, great location.",5
"Best hotel I've stayed in, everything was perfect.",5
"Best hotel I've stayed in, everything was perfect.",5
"Best hotel I've stayed in, everything was perfect.",5
"Okay for a short stay, but wouldn't come for long.",3
"Great value for money, highly recommended.",5
"Bad location, far from everything, difficult to reach.",1
"Rude staff, terrible customer service.",1
"Loved the atmosphere, staff were very friendly.",5
"Room was nothing like the photos, very misleading.",1
"Rude staff, terrible customer service.",1
"It was fine, not great but not terrible either.",3
"Poor cleanliness, bathroom had mold.",1
"Best hotel I've stayed in, everything was perfect.",5
"Worst hotel ever, would not recommend to anyone.",1
Very impressed with the quality and service.,5
"Room was nothing like the photos, very misleading.",1
"Excellent experience, the breakfast was delicious.",5
"Dirty sheets, broken AC, horrible experience.",1
"Perfect stay, very clean and comfortable.",5
"Poor cleanliness, bathroom had mold.",1
"Awful stay, couldn't sleep due to noise.",1
"Dirty sheets, broken AC, horrible experience.",1
"Excellent experience, the breakfast was delicious.",5
"Bad location, far from everything, difficult to reach.",1
"Worst hotel ever, would not recommend to anyone.",1
"Wonderful view from the room, exceptional service.",5
"Rude staff, terrible customer service.",1
"Worst hotel ever, would not recommend to anyone.",1
"Perfect stay, very clean and comfortable.",5
"Dirty sheets, broken AC, horrible experience.",1
"Loved the atmosphere, staff were very friendly.",5
"Rude staff, terrible customer service.",1
"Decent stay, some good some bad aspects.",3
"Comfortable beds, clean rooms, great location.",5
"Awful stay, couldn't sleep due to noise.",1
"Room was nothing like the photos, very misleading.",1
"Decent stay, some good some bad aspects.",3
"Best hotel I've stayed in, everything was perfect.",5
"Room was nothing like the photos, very misleading.",1
"Not worth the money, old furniture and bad service.",1
"Room was nothing like the photos, very misleading.",1
"Awful stay, couldn't sleep due to noise.",1
Very impressed with the quality and service.,5
"Bad location, far from everything, difficult to reach.",1
"Wonderful view from the room, exceptional service.",5
"Comfortable beds, clean rooms, great location.",5
"Perfect stay, very clean and comfortable.",5
